,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,START_POSITION,COMMENT,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT
787,0021400836,1610612759,SAS,San Antonio,203382,Aron Baynes,C,,24,0.419,0.163,0.163,0.192,0.389,0.2,0.146,0.32
788,0021400836,1610612762,UTA,Utah,203497,Rudy Gobert,C,,30,0.48,0.469,0.158,0.24,0.481,0.222,0.245,0.323
789,0021400836,1610612762,UTA,Utah,203504,Trey Burke,,,28,0.43,0.28,0.12,0.185,0.388,0.327,0.203,0.265
790,0021400836,1610612762,UTA,Utah,203918,Rodney Hood,,,12,0.364,0.0,0.095,0.25,0.295,0.091,0.091,0.2
791,0021400836,1610612762,UTA,Utah,203957,Dante Exum,G,,20,0.419,0.243,0.15,0.389,0.547,0.25,0.235,0.176
792,0021400836,1610612762,UTA,Utah,204060,Joe Ingles,G,,27,0.415,0.277,0.168,0.32,0.453,0.326,0.249,0.269
793,0021400836,1610612759,SAS,San Antonio,2225,Tony Parker,G,,21,0.469,0.281,0.244,0.238,0.458,0.361,0.147,0.35
794,0021400836,1610612759,SAS,San Antonio,2564,Boris Diaw,,,24,0.395,0.256,0.216,0.276,0.474,0.308,0.127,0.15
795,0021400837,1610612746,LAC,Los Angeles,101108,Chris Paul,G,,39,0.523,0.152,0.133,0.156,0.461,0.25,0.107,0.121
796,0021400837,1610612746,LAC,Los Angeles,200755,JJ Redick,G,,37,0.492,0.197,0.136,0.103,0.458,0.322,0.126,0.179
797,0021400837,1610612763,MEM,Memphis,201144,Mike Conley,G,,33,0.443,0.453,0.131,0.148,0.508,0.133,0.133,0.172
798,0021400837,1610612763,MEM,Memphis,201145,Jeff Green,F,,34,0.418,0.4,0.116,0.133,0.491,0.138,0.124,0.172
799,0021400837,1610612746,LAC,Los Angeles,201150,Spencer Hawes,F,,32,0.536,0.145,0.112,0.115,0.53,0.32,0.131,0.167
