,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT
944,0021500149,1610612738,Celtics,BOS,Boston,240,0.53,0.244,0.186,0.324,0.403,0.377,0.182,0.205
945,0021500149,1610612760,Thunder,OKC,Oklahoma City,240,0.403,0.377,0.182,0.205,0.53,0.244,0.186,0.324
946,0021500150,1610612758,Kings,SAC,Sacramento,240,0.579,0.316,0.205,0.237,0.523,0.161,0.157,0.175
947,0021500150,1610612761,Raptors,TOR,Toronto,240,0.523,0.161,0.157,0.175,0.579,0.316,0.205,0.237
948,0021500151,1610612747,Lakers,LAL,Los Angeles,240,0.453,0.52,0.158,0.171,0.401,0.156,0.117,0.235
949,0021500151,1610612765,Pistons,DET,Detroit,240,0.401,0.156,0.117,0.235,0.453,0.52,0.158,0.171
950,0021500152,1610612742,Mavericks,DAL,Dallas,240,0.441,0.395,0.186,0.136,0.48,0.263,0.26,0.195
951,0021500152,1610612755,76ers,PHI,Philadelphia,240,0.48,0.263,0.26,0.195,0.441,0.395,0.186,0.136
952,0021500153,1610612741,Bulls,CHI,Chicago,240,0.442,0.372,0.082,0.204,0.454,0.276,0.131,0.224
953,0021500153,1610612754,Pacers,IND,Indiana,240,0.454,0.276,0.131,0.224,0.442,0.372,0.082,0.204
954,0021500154,1610612738,Celtics,BOS,Boston,240,0.532,0.183,0.191,0.333,0.488,0.271,0.213,0.298
955,0021500154,1610612745,Rockets,HOU,Houston,240,0.488,0.271,0.213,0.298,0.532,0.183,0.191,0.333
956,0021500155,1610612760,Thunder,OKC,Oklahoma City,240,0.568,0.383,0.187,0.353,0.512,0.464,0.101,0.273
957,0021500155,1610612763,Grizzlies,MEM,Memphis,240,0.512,0.464,0.101,0.273,0.568,0.383,0.187,0.353
958,0021500156,1610612757,Trail Blazers,POR,Portland,240,0.46,0.173,0.135,0.103,0.466,0.146,0.068,0.255
959,0021500156,1610612759,Spurs,SAS,San Antonio,240,0.466,0.146,0.068,0.255,0.46,0.173,0.135,0.103
960,0021500157,1610612747,Lakers,LAL,Los Angeles,240,0.539,0.26,0.177,0.179,0.543,0.269,0.113,0.375
961,0021500157,1610612756,Suns,PHX,Phoenix,240,0.543,0.269,0.113,0.375,0.539,0.26,0.177,0.179
962,0021500158,1610612749,Bucks,MIL,Milwaukee,240,0.5,0.333,0.199,0.143,0.614,0.586,0.128,0.176
963,0021500158,1610612764,Wizards,WAS,Washington,240,0.614,0.586,0.128,0.176,0.5,0.333,0.199,0.143
964,0021500159,1610612737,Hawks,ATL,Atlanta,240,0.513,0.184,0.212,0.186,0.494,0.155,0.129,0.2
965,0021500159,1610612751,Nets,BKN,Brooklyn,240,0.494,0.155,0.129,0.2,0.513,0.184,0.212,0.186
966,0021500160,1610612739,Cavaliers,CLE,Cleveland,240,0.544,0.25,0.14,0.075,0.47,0.369,0.13,0.229
967,0021500160,1610612765,Pistons,DET,Detroit,240,0.47,0.369,0.13,0.229,0.544,0.25,0.14,0.075
968,0021500161,1610612748,Heat,MIA,Miami,240,0.487,0.38,0.211,0.204,0.392,0.361,0.076,0.268
969,0021500161,1610612750,Timberwolves,MIN,Minnesota,240,0.392,0.361,0.076,0.268,0.487,0.38,0.211,0.204
970,0021500162,1610612752,Knicks,NYK,New York,240,0.461,0.236,0.111,0.227,0.47,0.305,0.076,0.186
971,0021500162,1610612766,Hornets,CHA,Charlotte,240,0.47,0.305,0.076,0.186,0.461,0.236,0.111,0.227
972,0021500163,1610612740,Pelicans,NOP,New Orleans,240,0.536,0.133,0.111,0.2,0.618,0.153,0.149,0.306
973,0021500163,1610612743,Nuggets,DEN,Denver,240,0.618,0.153,0.149,0.306,0.536,0.133,0.111,0.2
974,0021500164,1610612744,Warriors,GSW,Golden State,240,0.606,0.338,0.194,0.243,0.506,0.494,0.192,0.324
975,0021500164,1610612761,Raptors,TOR,Toronto,240,0.506,0.494,0.192,0.324,0.606,0.338,0.194,0.243
976,0021500165,1610612751,Nets,BKN,Brooklyn,240,0.511,0.242,0.086,0.111,0.556,0.45,0.156,0.22
977,0021500165,1610612766,Hornets,CHA,Charlotte,240,0.556,0.45,0.156,0.22,0.511,0.242,0.086,0.111
978,0021500166,1610612750,Timberwolves,MIN,Minnesota,265,0.447,0.353,0.155,0.244,0.414,0.191,0.083,0.303
979,0021500166,1610612753,Magic,ORL,Orlando,265,0.414,0.191,0.083,0.303,0.447,0.353,0.155,0.244
