,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM
1683,0021500522,1610612749,Bucks,MIL,Milwaukee,240,0.843,0.157,0.755,0.245,0.17,0.104,0.075,0.142,0.509,0.55,0.45,1.0,0.0,0.609,0.391
1684,0021500523,1610612742,Mavericks,DAL,Dallas,290,0.704,0.296,0.564,0.154,0.308,0.145,0.128,0.137,0.41,0.364,0.636,0.833,0.167,0.489,0.511
1685,0021500523,1610612758,Kings,SAC,Sacramento,290,0.677,0.323,0.603,0.172,0.31,0.181,0.086,0.19,0.431,0.429,0.571,1.0,0.0,0.574,0.426
1686,0021500524,1610612744,Warriors,GSW,Golden State,240,0.651,0.349,0.495,0.183,0.358,0.165,0.147,0.101,0.312,0.593,0.407,0.769,0.231,0.65,0.35
1687,0021500524,1610612747,Lakers,LAL,Los Angeles,240,0.769,0.231,0.545,0.091,0.17,0.182,0.284,0.08,0.455,0.458,0.542,0.8,0.2,0.517,0.483
1688,0021500525,1610612748,Heat,MIA,Miami,240,0.793,0.207,0.778,0.222,0.067,0.089,0.156,0.211,0.556,0.343,0.657,1.0,0.0,0.378,0.622
1689,0021500525,1610612752,Knicks,NYK,New York,240,0.886,0.114,0.735,0.245,0.092,0.112,0.173,0.224,0.49,0.361,0.639,0.667,0.333,0.385,0.615
1690,0021500526,1610612753,Magic,ORL,Orlando,240,0.608,0.392,0.605,0.233,0.209,0.093,0.186,0.209,0.372,0.5,0.5,0.667,0.333,0.531,0.469
1691,0021500526,1610612754,Pacers,IND,Indiana,240,0.711,0.289,0.547,0.232,0.189,0.137,0.263,0.179,0.316,0.538,0.462,0.833,0.167,0.594,0.406
1692,0021500527,1610612739,Cavaliers,CLE,Cleveland,240,0.674,0.326,0.595,0.165,0.298,0.041,0.107,0.157,0.43,0.222,0.778,0.667,0.333,0.333,0.667
1693,0021500527,1610612764,Wizards,WAS,Washington,240,0.684,0.316,0.487,0.122,0.365,0.191,0.148,0.104,0.365,0.679,0.321,0.857,0.143,0.738,0.262
1694,0021500528,1610612738,Celtics,BOS,Boston,240,0.692,0.308,0.596,0.17,0.191,0.032,0.213,0.16,0.426,0.643,0.357,0.833,0.167,0.676,0.324
1695,0021500528,1610612765,Pistons,DET,Detroit,240,0.635,0.365,0.465,0.162,0.303,0.061,0.232,0.091,0.303,0.435,0.565,0.8,0.2,0.545,0.455
1696,0021500529,1610612751,Nets,BKN,Brooklyn,240,0.795,0.205,0.703,0.081,0.203,0.081,0.095,0.122,0.622,0.5,0.5,1.0,0.0,0.581,0.419
1697,0021500529,1610612761,Raptors,TOR,Toronto,240,0.725,0.275,0.681,0.176,0.132,0.165,0.187,0.187,0.505,0.419,0.581,0.75,0.25,0.457,0.543
1698,0021500530,1610612743,Nuggets,DEN,Denver,240,0.753,0.247,0.538,0.154,0.308,0.103,0.154,0.051,0.385,0.619,0.381,1.0,0.0,0.724,0.276
1699,0021500530,1610612750,Timberwolves,MIN,Minnesota,240,0.849,0.151,0.676,0.324,0.122,0.081,0.203,0.162,0.351,0.8,0.2,1.0,0.0,0.821,0.179
1700,0021500531,1610612740,Pelicans,NOP,New Orleans,240,0.674,0.326,0.593,0.11,0.231,0.198,0.176,0.176,0.484,0.556,0.444,1.0,0.0,0.647,0.353
1701,0021500531,1610612742,Mavericks,DAL,Dallas,240,0.678,0.322,0.6,0.16,0.21,0.06,0.19,0.11,0.44,0.533,0.467,0.857,0.143,0.595,0.405
1702,0021500532,1610612759,Spurs,SAS,San Antonio,240,0.756,0.244,0.699,0.146,0.22,0.041,0.081,0.195,0.553,0.605,0.395,0.889,0.111,0.654,0.346
1703,0021500532,1610612762,Jazz,UTA,Utah,240,0.772,0.228,0.612,0.245,0.214,0.122,0.173,0.194,0.367,0.5,0.5,0.857,0.143,0.568,0.432
1704,0021500533,1610612756,Suns,PHX,Phoenix,240,0.607,0.393,0.396,0.18,0.514,0.099,0.09,0.162,0.216,0.364,0.636,0.895,0.105,0.61,0.39
1705,0021500533,1610612766,Hornets,CHA,Charlotte,240,0.678,0.322,0.529,0.157,0.324,0.127,0.147,0.225,0.373,0.333,0.667,1.0,0.0,0.526,0.474
1706,0021500534,1610612760,Thunder,OKC,Oklahoma City,240,0.795,0.205,0.536,0.125,0.214,0.134,0.25,0.107,0.411,0.4,0.6,1.0,0.0,0.526,0.474
1707,0021500534,1610612763,Grizzlies,MEM,Memphis,240,0.767,0.233,0.596,0.191,0.223,0.191,0.181,0.223,0.404,0.643,0.357,0.429,0.571,0.6,0.4
1708,0021500535,1610612746,Clippers,LAC,Los Angeles,240,0.723,0.277,0.569,0.275,0.303,0.083,0.128,0.174,0.294,0.516,0.484,0.727,0.273,0.571,0.429
1709,0021500535,1610612757,Trail Blazers,POR,Portland,240,0.698,0.302,0.592,0.163,0.276,0.061,0.133,0.092,0.429,0.552,0.448,0.556,0.444,0.553,0.447
1710,0021500536,1610612737,Hawks,ATL,Atlanta,240,0.663,0.337,0.571,0.111,0.31,0.262,0.119,0.23,0.46,0.667,0.333,0.923,0.077,0.735,0.265
1711,0021500536,1610612755,76ers,PHI,Philadelphia,240,0.791,0.209,0.694,0.143,0.153,0.153,0.153,0.245,0.551,0.471,0.529,1.0,0.0,0.538,0.462
1712,0021500537,1610612738,Celtics,BOS,Boston,240,0.745,0.255,0.652,0.174,0.163,0.185,0.185,0.13,0.478,0.433,0.567,0.8,0.2,0.486,0.514
1713,0021500537,1610612741,Bulls,CHI,Chicago,240,0.766,0.234,0.594,0.218,0.267,0.069,0.139,0.089,0.376,0.5,0.5,0.889,0.111,0.59,0.41
1714,0021500538,1610612745,Rockets,HOU,Houston,240,0.693,0.307,0.621,0.155,0.204,0.165,0.175,0.155,0.466,0.313,0.688,0.714,0.286,0.385,0.615
1715,0021500538,1610612762,Jazz,UTA,Utah,240,0.641,0.359,0.66,0.213,0.223,0.021,0.117,0.16,0.447,0.613,0.387,0.857,0.143,0.658,0.342
1716,0021500539,1610612747,Lakers,LAL,Los Angeles,240,0.68,0.32,0.574,0.191,0.209,0.113,0.217,0.174,0.383,0.394,0.606,0.875,0.125,0.488,0.512
1717,0021500539,1610612758,Kings,SAC,Sacramento,240,0.753,0.247,0.695,0.153,0.153,0.161,0.153,0.203,0.542,0.634,0.366,1.0,0.0,0.681,0.319
